retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method,unique_transaction_key
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,41.0,375,1538,800,Outlet,1185732_2020-03-16_Men's Street Footwear_Outlet_New York_375_41.0
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,29.0,374,1085,445,Outlet,1197831_2020-08-26_Women's Street Footwear_Outlet_Houston_374_29.0
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,29.0,374,1085,445,Outlet,1197831_2020-09-01_Women's Street Footwear_Outlet_Houston_374_29.0
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,33.0,372,1228,663,Outlet,1185732_2020-01-31_Men's Street Footwear_Outlet_New York_372_33.0
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,44.0,366,1610,837,Outlet,1185732_2020-02-06_Men's Street Footwear_Outlet_New York_366_44.0
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,56.0,360,2016,1250,Online,1185732_2020-04-19_Men's Street Footwear_Online_New York_360_56.0
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,37.0,359,1328,452,Outlet,1185732_2020-03-17_Men's Athletic Footwear_Outlet_New York_359_37.0
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,48.0,355,1704,511,Outlet,1185732_2020-04-18_Women's Apparel_Outlet_New York_355_48.0
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,46.0,354,1628,1026,Online,1185732_2020-01-25_Men's Street Footwear_Online_New York_354_46.0
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,47.0,352,1654,447,Outlet,1185732_2020-03-15_Women's Apparel_Outlet_New York_352_47.0
Foot Locker,1185732,2021-03-17,Midwest,Missouri,St. Louis,Women's Street Footwear,25.0,350,8750,3063,In-store,1185732_2021-03-17_Women's Street Footwear_In-store_St. Louis_350_25.0
Foot Locker,1185732,2021-06-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,350,8750,3500,In-store,1185732_2021-06-18_Women's Athletic Footwear_In-store_St. Louis_350_25.0
Foot Locker,1185732,2021-10-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.0,350,8750,3063,In-store,1185732_2021-10-18_Men's Athletic Footwear_In-store_St. Louis_350_25.0
Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.0,350,8750,3063,In-store,1185732_2021-11-18_Men's Athletic Footwear_In-store_St. Louis_350_25.0
West Gear,1185732,2021-05-12,West,Utah,Salt Lake City,Women's Street Footwear,25.0,350,8750,3063,In-store,1185732_2021-05-12_Women's Street Footwear_In-store_Salt Lake City_350_25.0
West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Women's Street Footwear,10.0,350,3500,1225,In-store,1185732_2021-09-12_Women's Street Footwear_In-store_Salt Lake City_350_10.0
Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.0,350,8750,3500,Online,1185732_2021-04-10_Women's Athletic Footwear_Online_Columbus_350_25.0
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Women's Athletic Footwear,25.0,350,8750,3500,Online,1185732_2021-10-18_Women's Athletic Footwear_Online_Jackson_350_25.0
Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Men's Athletic Footwear,25.0,350,8750,3063,Online,1197831_2021-02-21_Men's Athletic Footwear_Online_Jackson_350_25.0
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Women's Street Footwear,10.0,350,3500,1400,Online,1197831_2021-03-19_Women's Street Footwear_Online_Little Rock_350_10.0
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Women's Apparel,25.0,350,8750,3500,Online,1197831_2021-03-19_Women's Apparel_Online_Little Rock_350_25.0
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Street Footwear,15.0,350,5250,2100,Online,1197831_2021-09-19_Women's Street Footwear_Online_Little Rock_350_15.0
West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Women's Apparel,20.0,350,7000,2800,Online,1197831_2021-02-21_Women's Apparel_Online_Oklahoma City_350_20.0
West Gear,1197831,2021-10-21,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20.0,350,7000,2450,Online,1197831_2021-10-21_Men's Athletic Footwear_Online_Oklahoma City_350_20.0
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25.0,350,8750,3063,Online,1197831_2021-01-16_Men's Athletic Footwear_Online_Oklahoma City_350_25.0
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.0,350,5250,1838,Online,1197831_2021-01-16_Women's Street Footwear_Online_Oklahoma City_350_15.0
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Women's Apparel,25.0,350,8750,3063,Online,1197831_2021-01-16_Women's Apparel_Online_Oklahoma City_350_25.0
West Gear,1185732,2021-02-17,Northeast,West Virginia,Charleston,Women's Apparel,25.0,350,8750,3500,In-store,1185732_2021-02-17_Women's Apparel_In-store_Charleston_350_25.0
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,32.0,350,1120,414,Outlet,1185732_2020-01-03_Women's Street Footwear_Outlet_New York_350_32.0
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,36.0,350,1260,365,Outlet,1185732_2020-01-24_Women's Apparel_Outlet_New York_350_36.0
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,43.0,350,1505,497,Outlet,1185732_2020-04-20_Men's Athletic Footwear_Outlet_New York_350_43.0
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,45.0,350,1575,473,Outlet,1185732_2020-04-24_Women's Apparel_Outlet_New York_350_45.0
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,38.0,350,1330,758,Outlet,1197831_2020-08-23_Women's Apparel_Outlet_Houston_350_38.0
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Men's Street Footwear,26.0,349,907,426,Outlet,1185732_2021-01-09_Men's Street Footwear_Outlet_Atlanta_349_26.0
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,46.0,347,1596,511,Outlet,1185732_2020-03-09_Women's Apparel_Outlet_New York_347_46.0
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Women's Street Footwear,20.0,345,6900,2415,In-store,1185732_2021-11-11_Women's Street Footwear_In-store_Salt Lake City_345_20.0
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,41.0,341,1398,601,Outlet,1128299_2021-01-06_Men's Street Footwear_Outlet_San Francisco_341_41.0
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,41.0,340,1394,474,Outlet,1185732_2020-03-05_Men's Athletic Footwear_Outlet_New York_340_41.0
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,48.0,340,1632,490,Outlet,1185732_2020-07-18_Women's Apparel_Outlet_New York_340_48.0
West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,41.0,338,1386,527,Outlet,1128299_2021-01-12_Men's Street Footwear_Outlet_San Francisco_338_41.0
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,47.0,336,1579,963,Online,1185732_2020-01-01_Men's Street Footwear_Online_New York_336_47.0
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,39.0,333,1299,351,Outlet,1185732_2020-02-05_Women's Apparel_Outlet_New York_333_39.0
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,42.0,333,1399,559,Outlet,1185732_2020-05-05_Women's Street Footwear_Outlet_New York_333_42.0
Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,32.0,333,1066,426,Outlet,1197831_2020-10-26_Men's Street Footwear_Outlet_Houston_333_32.0
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,34.0,333,1132,476,Outlet,1197831_2020-10-27_Men's Athletic Footwear_Outlet_Houston_333_34.0
West Gear,1128299,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,46.0,332,1527,321,Outlet,1128299_2021-02-12_Men's Athletic Footwear_Outlet_San Francisco_332_46.0
Sports Direct,1197831,2021-09-24,South,Texas,Dallas,Women's Street Footwear,35.0,332,1162,546,Outlet,1197831_2021-09-24_Women's Street Footwear_Outlet_Dallas_332_35.0
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,38.0,330,1254,401,Outlet,1185732_2020-01-06_Women's Apparel_Outlet_New York_330_38.0
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,50.0,330,1650,462,Outlet,1185732_2020-04-26_Women's Apparel_Outlet_New York_330_50.0
Foot Locker,1185732,2021-08-06,Southeast,South Carolina,Charleston,Men's Street Footwear,62.0,326,2021,1152,Online,1185732_2021-08-06_Men's Street Footwear_Online_Charleston_326_62.0
Foot Locker,1185732,2021-08-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,325,8125,3250,In-store,1185732_2021-08-18_Women's Athletic Footwear_In-store_St. Louis_325_25.0
Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,325,8125,3250,In-store,1185732_2021-11-18_Women's Athletic Footwear_In-store_St. Louis_325_25.0
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20.0,325,6500,2600,In-store,1185732_2021-01-11_Women's Athletic Footwear_In-store_St. Louis_325_20.0
West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Men's Athletic Footwear,25.0,325,8125,2844,In-store,1185732_2021-04-11_Men's Athletic Footwear_In-store_Salt Lake City_325_25.0
West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Women's Street Footwear,15.0,325,4875,1706,In-store,1185732_2021-04-11_Women's Street Footwear_In-store_Salt Lake City_325_15.0
West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Women's Athletic Footwear,10.0,325,3250,1300,In-store,1185732_2021-09-12_Women's Athletic Footwear_In-store_Salt Lake City_325_10.0
West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Men's Apparel,20.0,325,6500,2275,In-store,1185732_2021-09-12_Men's Apparel_In-store_Salt Lake City_325_20.0
Amazon,1185732,2021-03-09,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.0,325,8125,3250,Online,1185732_2021-03-09_Women's Athletic Footwear_Online_Columbus_325_25.0
Foot Locker,1185732,2021-02-18,South,Mississippi,Jackson,Women's Athletic Footwear,25.0,325,8125,3250,Online,1185732_2021-02-18_Women's Athletic Footwear_Online_Jackson_325_25.0
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Men's Athletic Footwear,20.0,325,6500,2275,Online,1197831_2021-03-19_Men's Athletic Footwear_Online_Little Rock_325_20.0
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Athletic Footwear,15.0,325,4875,1950,Online,1197831_2021-09-19_Women's Athletic Footwear_Online_Little Rock_325_15.0
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Men's Apparel,25.0,325,8125,2844,Online,1197831_2021-09-19_Men's Apparel_Online_Little Rock_325_25.0
West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Street Footwear,15.0,325,4875,1950,Online,1197831_2021-02-21_Women's Street Footwear_Online_Little Rock_325_15.0
Kohl's,1197831,2021-02-14,Midwest,Kansas,Wichita,Women's Apparel,20.0,325,6500,2275,Online,1197831_2021-02-14_Women's Apparel_Online_Wichita_325_20.0
Kohl's,1197831,2021-10-14,Midwest,Kansas,Wichita,Men's Athletic Footwear,20.0,325,6500,2275,Online,1197831_2021-10-14_Men's Athletic Footwear_Online_Wichita_325_20.0
West Gear,1185732,2021-03-16,Northeast,West Virginia,Charleston,Women's Street Footwear,20.0,325,6500,2600,In-store,1185732_2021-03-16_Women's Street Footwear_In-store_Charleston_325_20.0
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,58.0,325,1885,1150,Online,1185732_2020-03-16_Men's Street Footwear_Online_New York_325_58.0
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,40.0,324,1296,518,Outlet,1185732_2020-03-31_Women's Athletic Footwear_Outlet_New York_324_40.0
Sports Direct,1185732,2020-05-24,Southeast,Florida,Miami,Men's Street Footwear,63.0,323,2035,1140,Online,1185732_2020-05-24_Men's Street Footwear_Online_Miami_323_63.0
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,32.0,323,1034,393,Outlet,1185732_2020-01-21_Women's Street Footwear_Outlet_New York_323_32.0
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,36.0,323,1163,314,Outlet,1185732_2020-01-30_Women's Apparel_Outlet_New York_323_36.0
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,33.0,323,1066,448,Outlet,1197831_2020-08-19_Men's Athletic Footwear_Outlet_Houston_323_33.0
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,53.0,322,1707,478,Outlet,1185732_2020-05-02_Women's Apparel_Outlet_New York_322_53.0
West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Street Footwear,40.0,322,1288,425,Outlet,1128299_2021-02-11_Men's Street Footwear_Outlet_San Francisco_322_40.0
Sports Direct,1197831,2021-09-18,South,Texas,Dallas,Women's Street Footwear,33.0,322,1063,446,Outlet,1197831_2021-09-18_Women's Street Footwear_Outlet_Dallas_322_33.0
Sports Direct,1197831,2021-04-17,South,Tennessee,Knoxville,Women's Street Footwear,30.0,322,966,483,Outlet,1197831_2021-04-17_Women's Street Footwear_Outlet_Knoxville_322_30.0
Sports Direct,1197831,2021-09-08,South,Alabama,Birmingham,Women's Street Footwear,31.0,322,998,559,Outlet,1197831_2021-09-08_Women's Street Footwear_Outlet_Birmingham_322_31.0
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Women's Street Footwear,25.0,320,8000,3200,Online,1197831_2021-11-20_Women's Street Footwear_Online_Little Rock_320_25.0
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,36.0,320,1152,403,Outlet,1185732_2020-01-02_Men's Athletic Footwear_Outlet_New York_320_36.0
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,44.0,320,1408,408,Outlet,1185732_2020-03-03_Women's Apparel_Outlet_New York_320_44.0
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,59.0,319,1882,1129,Online,1185732_2020-03-10_Men's Street Footwear_Online_New York_319_59.0
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,37.0,319,1180,531,Online,1197831_2020-08-26_Women's Street Footwear_Online_Houston_319_37.0
Foot Locker,1185732,2020-08-12,Southeast,Florida,Miami,Men's Street Footwear,43.0,319,1372,782,Online,1185732_2020-08-12_Men's Street Footwear_Online_Miami_319_43.0
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,41.0,318,1304,482,Outlet,1185732_2020-03-11_Men's Athletic Footwear_Outlet_New York_318_41.0
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,54.0,317,1712,1096,Online,1185732_2020-02-06_Men's Street Footwear_Online_New York_317_54.0
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,39.0,315,1229,405,Outlet,1185732_2020-01-08_Men's Athletic Footwear_Outlet_New York_315_39.0
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,35.0,315,1103,397,Outlet,1185732_2020-01-26_Men's Athletic Footwear_Outlet_New York_315_35.0
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,35.0,315,1103,364,Outlet,1185732_2020-02-01_Men's Athletic Footwear_Outlet_New York_315_35.0
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,28.0,315,882,335,Outlet,1185732_2020-02-02_Women's Street Footwear_Outlet_New York_315_28.0
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,36.0,315,1134,442,Outlet,1185732_2020-04-21_Women's Street Footwear_Outlet_New York_315_36.0
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,44.0,315,1386,513,Outlet,1185732_2020-04-23_Men's Apparel_Outlet_New York_315_44.0
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,24.0,315,756,295,Outlet,1197831_2020-08-12_Men's Street Footwear_Outlet_Houston_315_24.0
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,36.0,315,1134,431,Outlet,1197831_2020-09-07_Women's Street Footwear_Outlet_Houston_315_36.0
Kohl's,1189833,2021-05-25,West,California,Los Angeles,Men's Street Footwear,39.0,315,1229,565,Outlet,1189833_2021-05-25_Men's Street Footwear_Outlet_Los Angeles_315_39.0
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,27.0,314,848,348,Outlet,1185732_2020-01-27_Women's Street Footwear_Outlet_New York_314_27.0
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,37.0,314,1162,430,Outlet,1185732_2020-03-18_Women's Street Footwear_Outlet_New York_314_37.0
Sports Direct,1197831,2021-04-23,South,Tennessee,Knoxville,Women's Street Footwear,39.0,314,1225,576,Outlet,1197831_2021-04-23_Women's Street Footwear_Outlet_Knoxville_314_39.0
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,46.0,313,1440,893,Online,1185732_2020-01-07_Men's Street Footwear_Online_New York_313_46.0
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,55.0,313,1722,1050,Online,1185732_2020-03-04_Men's Street Footwear_Online_New York_313_55.0
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,62.0,312,1934,1238,Online,1185732_2020-05-03_Men's Street Footwear_Online_New York_312_62.0
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,38.0,312,1186,700,Online,1185732_2021-02-07_Men's Street Footwear_Online_Atlanta_312_38.0
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,40.0,312,1248,449,Outlet,1185732_2020-04-28_Men's Athletic Footwear_Outlet_New York_312_40.0
Foot Locker,1185732,2021-07-05,Southeast,South Carolina,Charleston,Men's Street Footwear,63.0,311,1959,1156,Online,1185732_2021-07-05_Men's Street Footwear_Online_Charleston_311_63.0
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,43.0,310,1333,467,Outlet,1185732_2020-05-04_Men's Athletic Footwear_Outlet_New York_310_43.0
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,53.0,308,1632,669,Online,1185732_2020-03-17_Men's Athletic Footwear_Online_New York_308_53.0
Sports Direct,1185732,2021-08-03,Southeast,North Carolina,Charlotte,Men's Street Footwear,61.0,308,1879,996,Online,1185732_2021-08-03_Men's Street Footwear_Online_Charlotte_308_61.0
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,43.0,306,1316,487,Outlet,1185732_2020-01-05_Men's Apparel_Outlet_New York_306_43.0
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,43.0,306,1316,461,Outlet,1185732_2020-01-23_Men's Apparel_Outlet_New York_306_43.0
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,34.0,306,1040,406,Outlet,1185732_2020-04-22_Women's Athletic Footwear_Outlet_New York_306_34.0
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,41.0,306,1255,502,Outlet,1185732_2020-05-06_Women's Athletic Footwear_Outlet_New York_306_41.0
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,20.0,306,612,257,Outlet,1197831_2020-07-31_Men's Street Footwear_Outlet_Houston_306_20.0
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,23.0,306,704,260,Outlet,1197831_2020-08-06_Men's Street Footwear_Outlet_Houston_306_23.0
